question_type,question_text,answer_text,difficulty,loss
open question,What is the number of comparisons for inserting 6 elements into a binary max-heap? Give best and worst cases.,Best case: 5 comparisons. Worst case: 8 comparisons.,0.305995309,3.889176368713379
open question,"Given f1(n) = O(g1(n)) and f2(n) = O(g2(n)), is f1(f2(n)) = O(g1(g2(n)))? Prove or disprove.",Disproved with counterexample: f1(f2(n)) may grow faster than g1(g2(n)).,0.728344449,3.319685459136963
open question,"Given T(n) = T(n/2) + f(n), T(1)=2, is there an f(n) such that T(n) = Θ(log n)?","Yes. For example, f(n) = log n.",1.0,4.339621543884277
open question,"Describe an algorithm that splits a binary min-heap into three heaps of smallest, middle, and largest third of elements.","Use median-of-medians to partition, then build heaps. Total time: O(n).",0.411695072,5.299039363861084
Multiple Choice,"In AVL tree, after inserting a node, what can we say about the height of a node whose balance factor changed to 0?",B,0.183579743,3.0593998432159424
open question,"In median-of-medians algorithm using quartets (groups of 4), write the recurrence and its solution.",T(n) = T(n/4) + T(3n/4) + O(n) ⇒ T(n) = Θ(n log n),0.201898899,2.9148099422454834
open question,"Fill in tightest asymptotic bounds for operations on (2,4) tree using bottom-up strategy.",All are O(m) except down-moves which are O(m log m).,0.708606774,4.717422962188721
open question,Can we skip marking DELETED in open addressing if key k hashes to i and key i+1 to i?,No. A later key might still need to probe through that position.,0.134715722,6.126864910125732
open question,"Given a sequence with each ai being the median of a1...ai, can we build an AVL tree in O(n)?",Yes. Use the known structure to build a sorted array then construct AVL.,0.80125851,5.291837215423584
open question,"Given a sequence that alternates between increasing and decreasing values, can AVL be built in O(n)?","Yes. Separate even and odd indexed subsequences, sort and merge them.",0.736822711,4.640288829803467
open question,"Given a nearly complete binary tree with n nodes, return the rightmost leaf in the last level in O(log n).","Use binary search over the bottom level, comparing leftmost vs rightmost paths.",0.540561465,4.6518988609313965
open question,"Design a data structure supporting INSERT(x,y), DELETE(p), MIN(x), MOVE_ALL(x1,x2), LAST() in amortized O(log n).","Use array of Fibonacci heaps by x-value, with separate min and timestamp heaps.",0.311643496,5.045145034790039
open question,Solve the recurrence: T(n) = 2√n * T(√n) + n log n with T(1) = 1.,T(n) = Θ(n log log n).,0.397811242,4.285637855529785
open question,"In a BST with n nodes, is the amortized time for k successor operations starting from min always O(1)?",Yes. In total O(k) time for k successors from minimum node.,0.543065609,5.593317985534668
open question,Explain why Pr[i compares with j | k is chosen pivot] = 2 / (j - i + 1) in random quicksort.,Because the probability that either i or j is the first to be chosen as pivot among i to j is 2/(j-i+1).,0.389867217,3.975381374359131
open question,Does storing balance factor instead of height in AVL tree nodes save memory?,"Yes. Uses O(n) vs O(n log log n) bits asymptotically, so saves memory.",0.87132023,4.101011753082275
open question,Can balance factor alone be maintained correctly during insert/delete without hurting time complexity?,Yes. Balance factor updates alone suffice to decide when rebalancing is needed.,1.0,5.162222385406494
open question,Can a sequence of n integers with only ⌊log7 n⌋ distinct values be sorted in expected O(n) time?,Yes. Use hash table for counts and then sort keys; total expected O(n).,0.358800625,6.118386268615723
open question,"Given hash functions hi(x) = (x+i) mod m, is this family universal for m=13?",No. There’s guaranteed collision between 0 and 13 for all functions in the family.,0.371454156,5.040141582489014
open question,"Design a data structure over B = {1,2,4,...,2^n} supporting build, delete, num, max with listed complexities.",Use count array and doubly linked list for active keys. All operations meet their time bounds.,0.56856729,6.479726791381836
open question,"Given matrix with sorted rows, print all elements in sorted order using O(m) extra space and O(n log m) time.",Use a min-heap of column heads. Repeatedly extract min and insert next in row. Total time O(n log m).,0.177457061,5.329720973968506
open question,"Design data structure for lines y = ax + b supporting insert and search if they intersect on x ∈ [0,1], in O(log n).","Use AVL tree keyed by y at x=0, compare adjacent lines at x=1 for intersection check before insert.",0.839360055,5.4839396476745605
open question,"Design an algorithm that returns the number of colliding pairs (x,y) with h(x)=h(y) for a hash function h.",Use a counter array for each hash bucket. Count using n operations. Total time: O(n).,0.458642567,5.220886707305908
open question,Find the minimal number of insertions to a B-tree with degree d to split the root of a tree with n nodes and height h.,Number of insertions: d^{h+1}. Each level needs d insertions to propagate split upward.,0.630192748,5.160406589508057
open question,"Give an example of a function f(n) such that f(n) = O(n^2), f(n) = Ω(n), f(n) ≠ o(n^2), and f(n) ≠ ω(n).","f(n) = n if n is odd, f(n) = n^2 if n is even. Satisfies all conditions.",0.340499676,2.780553102493286
open question,Propose modifications to an AVL tree to support finding the k closest keys to a given node x in O(k) time.,Add pointers to in-order successor/predecessor. Traverse both directions simultaneously. Insert/update pointers in O(log n).,0.616110863,4.987427711486816
open question,"Design a graph data structure supporting Init(A), AddEdge(i,j), DeleteVertex(i), and MaxNeighborhood() efficiently.",Use adjacency lists and max-heap keyed by value + sum of neighbors. Maintain pointers and update values on edge/vertex change.,0.364890313,5.712270736694336
open question,Is it possible to compute the number of inversions I(A) in O(n log n) time? Can we sort A with I(A) ≤ n(n/2) in O(n)?,Yes to first (augmented BST). No to second — reduction from sorting shows contradiction to lower bound.,0.697495684,6.285863876342773
open question,Analyze the amortized change in potential T1-T0 during DeleteMin in Lazy Binomial Heap. Provide tight bounds.,Lower bound: 1 - n; Upper bound: log₂(n) - 1,0.430169591,4.39562463760376
open question,"In a B-tree of minimal degree d, a key is deleted and tree height decreases. Determine d and how much the height decreased.","d = 2, and the height decreased by 1 (root with one key was deleted).",0.428216404,5.930802822113037
open question,"Given array A split into k sorted blocks of size n/k, prove a comparison lower bound for sorting A.",Ω(n log k) using comparison tree of (k!)^(n/k) leaves.,0.134902992,5.4179511070251465
open question,"Implement a structure that supports Insert(I), Find(p) where I are intervals and p is a real number.","Use AVL storing interval endpoints and flags, return shortest interval containing p. Time: O(log n).",0.209537235,5.657711505889893
open question,Extend Union-Find with Print(x) that prints all elements in x's set in time proportional to its size.,Maintain circular linked list for each set. Print walks this list. No impact on amortized Find/Union time.,0.526450087,6.876659393310547
open question,"Maintain candidates with scores in DS, ML, LL and support Init, AddCand, and BuildTeam efficiently.","Use 3 max-heaps and bidirectional pointers. Init: O(k), Add: O(log n), BuildTeam: O(log n).",0.331590173,4.622424602508545
open question,"Implement Insert, Delete, Find, and DistSum(k) = sum of distances from all keys less than k to k.",Use augmented BST with sum/rank tracking. Time for all operations: O(log n).,0.254934184,6.385010242462158
open question,Explain the derivation of collision bounds in perfect hashing from lecture slide.,"Equality from combinatorics, collision count definition, and max collision bound per chosen function.",0.593735659,6.26876163482666
open question,"For constant c < 1, show that the smallest ⌊n/c⌋ elements of an array can be sorted in O(n) time.","Use Select to partition, then sort smallest ⌊n/c⌋ elements using O(n log(n/c)) = O(n) algorithm.",0.84058624,4.425632476806641
Multiple Choice,"In an AVL tree with n nodes, what is the tightest upper bound on the difference in size between the left and right subtrees of the root?",C,0.674698338,3.5887937545776367
open question,"Can array A be sorted in linear time in each of the following cases: (a) has 2n inversions, (b) even indices are smaller half in sorted order?","Case a: Yes, using finger tree with insertion sort. Case b: No, would violate comparison sort lower bound.",0.363128888,5.796082973480225
open question,"Design a static product pricing system with Init, Select(k), Rank(x) in O(n), O(1), O(1) respectively. After that, Extend previous system to support Insert(x,p), Delete(x), Select(k), Rank(x) in O(log n). Init in O(n).","Use counting sort during Init. Maintain array of products sorted by price. Use pointer math or indexing. After sorting in Init, use a balanced BST to support all operations in O(log n).",0.579328821,5.401057243347168
open question,"Design data structure to maintain 2D points and support Insert and DomDiff(a,b) in O(log n).",Use two BSTs sorted by x and y. Use rank queries and count differences in quadrants.,0.689441431,4.664297580718994
open question,"Give a non-constant function f(n) such that f(n) = Θ(f(n log n)). After that, Give a non-constant function f(n) such that f(n) = Θ(f(2n)).","f(n) = log n, f(n) = log* n",0.630015254,3.1574151515960693
open question,Find min and max number of leaves in a binomial heap and a Fibonacci heap with n nodes.,"Binomial: min = 1, max = 2^{k−1}; Fibonacci: min = 1, max = n",0.351392433,3.891768455505371
open question,"Design a randomized algorithm to find 4 elements in A that sum to 0, in expected O(n^2) time.","Use hash table to map pair sums to index pairs, then check complementary sums. Total expected time: O(n^2).",0.752596598,5.773077011108398
open question,Use Selection algorithm with 9-element groups instead of 5. What is the minimal i such that selecting the i-th smallest in each group yields linear time?,i = 5. Recurrence: T(n) = T(n/9) + T(15n/18) + O(n) ⇒ T(n) = Θ(n),0.385185397,3.4799745082855225
open question,"Analyze time complexity of Insert, DeleteMin, and Build-Heap in a d-ary heap.","Insert: Θ(log₍d₎n), DeleteMin: Θ(d log₍d₎n), BuildHeap: Θ(n)",0.297462671,3.912254810333252
open question,What is the probability that the minimum element is a descendant of the maximum element in a BST built from random insertion? What is the probability that the element ranked k is a descendant of the element ranked k+1?,"1/n. after that, 1/2.",0.24638932,5.9292168617248535
open question,"How many bits are needed to represent a hash function h: U → {0, 1, ..., m−1}? Afther that, What's the expected time to build a 2-level perfect hash table for n elements?","logm^u = |u| * logm. After that, Expected O(n) over random choices of universal hash functions",0.544812559,6.281602382659912
open question,"Design a data structure with amortized complexities: Insert(x): O(1), DeleteMin(): O(log n), DecreaseKey(x, Δ): O(1), Print100(): O(1).","Use Fibonacci heap + sorted array for 100 smallest elements, updated lazily.",0.455831815,5.543637752532959
open question,"Union-Find with union by rank (no path compression). What is the depth of the final tree for n = 2^k? Ather that, Same Union-Find setup, but n = 2^k - 1. What is the maximal tree depth?","Depth is k. Only one tree with k levels remains. After that, k - 1. There will be one tree for each rank from 0 to k - 1.",0.166581293,4.047140121459961
open question,Give tight lower and upper bounds on the rank of the root of an AVL tree of height h.,Lower: |Fₕ₋₂| + 1 = (Φ^{h+1} - Φ̅^{h+1})/√5; Upper: 2^h,0.346554214,4.368798732757568
