question_type,question_text,answer_text,difficulty,loss
open question,"Given array A split into k sorted blocks of size n/k, prove a comparison lower bound for sorting A.",Ω(n log k) using comparison tree of (k!)^(n/k) leaves.,0.134902992,5.11328125
open question,"Add GetQ(i,b) that returns ∑(ak + b)^2 for k = 1..i in O(log n).","Keep two BSTs tracking sum and square sum. Q(i,b) = sum_sq + 2b*sum + b^2*i",0.293545107,4.2890625
open question,Explain the derivation of collision bounds in perfect hashing from lecture slide.,"Equality from combinatorics, collision count definition, and max collision bound per chosen function.",0.593735659,6.0859375
open question,Add operation SearchPartialSum(x): return i such that prefix sum equals x. Must be O(log n).,Traverse BST by comparing cumulative left sum + node value to x. Standard balanced BST logic applies.,0.712085976,6.30859375
open question,Find min and max number of leaves in a binomial heap and a Fibonacci heap with n nodes.,"Binomial: min = 1, max = 2^{k−1}; Fibonacci: min = 1, max = n",0.351392433,2.140625
open question,Can balance factor alone be maintained correctly during insert/delete without hurting time complexity?,Yes. Balance factor updates alone suffice to decide when rebalancing is needed.,1.0,5.3125
open question,"Implement Insert, Delete, Find, and DistSum(k) = sum of distances from all keys less than k to k.",Use augmented BST with sum/rank tracking. Time for all operations: O(log n).,0.254934184,5.140625
open question,Use Selection algorithm with 9-element groups instead of 5. What is the minimal i such that selecting the i-th smallest in each group yields linear time?,i = 5. Recurrence: T(n) = T(n/9) + T(15n/18) + O(n) ⇒ T(n) = Θ(n),0.385185397,2.876953125
open question,Analyze the amortized change in potential T1-T0 during DeleteMin in Lazy Binomial Heap. Provide tight bounds.,Lower bound: 1 - n; Upper bound: log₂(n) - 1,0.430169591,2.71875
open question,Can we skip marking DELETED in open addressing if key k hashes to i and key i+1 to i?,No. A later key might still need to probe through that position.,0.134715722,5.6328125
open question,"Can you sort an array of n elements, each at most log n indices from its final position, in o(n log n) time?",Yes. Use a data structure like a finger tree or min-heap to sort in o(n log n) expected time.,0.414985252,3.384765625
open question,Give tight lower and upper bounds on the rank of the root of an AVL tree of height h.,Lower: |Fₕ₋₂| + 1 = (Φ^{h+1} - Φ̅^{h+1})/√5; Upper: 2^h,0.346554214,3.833984375
open question,"Analyze time complexity of Insert, DeleteMin, and Build-Heap in a d-ary heap.","Insert: Θ(log₍d₎n), DeleteMin: Θ(d log₍d₎n), BuildHeap: Θ(n)",0.297462671,3.515625
open question,"How many bits are needed to represent a hash function h: U → {0, 1, ..., m−1}? Afther that, What's the expected time to build a 2-level perfect hash table for n elements?","logm^u = |u| * logm. After that, Expected O(n) over random choices of universal hash functions",0.544812559,5.17578125
open question,"Design a data structure over B = {1,2,4,...,2^n} supporting build, delete, num, max with listed complexities.",Use count array and doubly linked list for active keys. All operations meet their time bounds.,0.56856729,5.2421875
open question,"Design data structure supporting Init(a1...an), SetValue(i,x), GetPartialSum(i) in O(log n).",Augmented balanced BST with sum field. Init via postorder traversal. SetValue and GetPartialSum follow search path.,0.542021862,5.54296875
open question,"Design data structure to maintain 2D points and support Insert and DomDiff(a,b) in O(log n).",Use two BSTs sorted by x and y. Use rank queries and count differences in quadrants.,0.689441431,4.8125
open question,Propose modifications to an AVL tree to support finding the k closest keys to a given node x in O(k) time.,Add pointers to in-order successor/predecessor. Traverse both directions simultaneously. Insert/update pointers in O(log n).,0.616110863,5.05859375
open question,"Design a static product pricing system with Init, Select(k), Rank(x) in O(n), O(1), O(1) respectively. After that, Extend previous system to support Insert(x,p), Delete(x), Select(k), Rank(x) in O(log n). Init in O(n).","Use counting sort during Init. Maintain array of products sorted by price. Use pointer math or indexing. After sorting in Init, use a balanced BST to support all operations in O(log n).",0.579328821,4.77734375
open question,"In a BST with n nodes, is the amortized time for k successor operations starting from min always O(1)?",Yes. In total O(k) time for k successors from minimum node.,0.543065609,4.0546875
open question,"Make all operations from part A worst-case O(1), except Insert (amortized O(log n)).",Use lazy updates: defer Delete and DecreaseKey to next Insert/Min. Use a log-sized list to track updates.,0.986340238,5.828125
open question,"Describe an algorithm that splits a binary min-heap into three heaps of smallest, middle, and largest third of elements.","Use median-of-medians to partition, then build heaps. Total time: O(n).",0.411695072,4.1171875
open question,Can a sequence of n integers with only ⌊log7 n⌋ distinct values be sorted in expected O(n) time?,Yes. Use hash table for counts and then sort keys; total expected O(n).,0.358800625,4.6015625
open question,"Can array A be sorted in linear time in each of the following cases: (a) has 2n inversions, (b) even indices are smaller half in sorted order?","Case a: Yes, using finger tree with insertion sort. Case b: No, would violate comparison sort lower bound.",0.363128888,4.63671875
open question,"Given a sequence with each ai being the median of a1...ai, can we build an AVL tree in O(n)?",Yes. Use the known structure to build a sorted array then construct AVL.,0.80125851,4.1953125
open question,Design algorithm (expected linear time) and worst-case linear time algorithm to detect: ∃ a1 ≠ a2 such that a1/a2 = n2/n1.,Use hashing: a1 * n1 = a2 * n2. Store ai * ni in hash. Use counting sort and scanning for deterministic version.,0.444890323,4.5703125
open question,"Fill in tightest asymptotic bounds for operations on (2,4) tree using bottom-up strategy.",All are O(m) except down-moves which are O(m log m).,0.708606774,4.26171875
open question,"For constant c < 1, show that the smallest ⌊n/c⌋ elements of an array can be sorted in O(n) time.","Use Select to partition, then sort smallest ⌊n/c⌋ elements using O(n log(n/c)) = O(n) algorithm.",0.84058624,3.099609375
Multiple Choice,How many probe sequences are possible for each open addressing strategy?,D,0.694981316,5.42578125
open question,Analyze runtime for selection algorithm using groups of 7 and using the 2nd smallest in each group as pivot.,T(n) = T(n/7) + T(6n/7) + Θ(n) = Θ(n log n),0.218642185,2.564453125
open question,"Support Insert, Delete(x), DecreaseKey(x, k), and Min in a structure with amortized complexities: Insert: O(log n), others: O(1).",Use Fibonacci heap. Charge Insert with O(log n) to cover future operations.,0.691059864,5.6171875
open question,Does storing balance factor instead of height in AVL tree nodes save memory?,"Yes. Uses O(n) vs O(n log log n) bits asymptotically, so saves memory.",0.87132023,4.17578125
open question,Is it possible to compute the number of inversions I(A) in O(n log n) time? Can we sort A with I(A) ≤ n(n/2) in O(n)?,Yes to first (augmented BST). No to second — reduction from sorting shows contradiction to lower bound.,0.697495684,6.2578125
open question,"Give a non-constant function f(n) such that f(n) = Θ(f(n log n)). After that, Give a non-constant function f(n) such that f(n) = Θ(f(2n)).","f(n) = log n, f(n) = log* n",0.630015254,3.482421875
open question,"Design a graph data structure supporting Init(A), AddEdge(i,j), DeleteVertex(i), and MaxNeighborhood() efficiently.",Use adjacency lists and max-heap keyed by value + sum of neighbors. Maintain pointers and update values on edge/vertex change.,0.364890313,4.91015625
