question_type,points,question_translation_latex,multiple_choice_answer,answer_translation_latex,topics_covered
Multiple Choice,6,"\noindent Consider a red-black tree as studied in class and described in Cormen (all Nils are considered leaves and their color is black). Let the height of a node \( y \) be defined as the length of the longest path (counted in nodes) upwards to \( y \). The count does not include \( y \) and the discussed nil. Let \( x \) be a node that is removed (note: the intention is the node removed and not the value removed) in the delete operation (as studied in class in a binary search tree). We are interested in the height of \( x \) before the removal. Then:
\begin{enumerate}
    \item The tightest upper bound on the height of \( x \) is 0.
    \item The tightest upper bound on the height of \( x \) is 1.
    \item The tightest upper bound on the height of \( x \) is 2.
    \item The tightest upper bound on the height of \( x \) is 3.
    \item There is no upper bound on the height of \( x \).
\end{enumerate}",2,na,OTHER
Multiple Choice,3,"\noindent A family of functions \( H = \{h \mid h : M \to \{1, 2, \ldots, n\}\} \) is called universal if for all different \( x, y \) in \( M \), the number of functions \( h \) in \( H \) for which \( h(x) = h(y) \) is the size of \( H \) divided by \( n \).

A family of functions \( H = \{h \mid h : M \to \{1, 2, \ldots, n\}\} \) is called 2-universal if for all different \( x, y \) in \( M \), the pair \( (h(x), h(y)) \) is uniformly distributed over the set \(\{(i, j) \mid 1 \leq i, j \leq n\}\).

Is it true that every 2-universal family is universal?

1. Yes

2. No

",1,na,Hash tables
Multiple Choice,3,"\noindent A family of functions $H = \{h \mid h: M \to \{1,2,\ldots,n\}\}$ is called universal if for every distinct $x, y$ in $M$, the number of functions $h$ in $H$ for which $h(x) = h(y)$ is equal to the size of $H$ divided by $n$. \\
A family of functions $H = \{h \mid h: M \to \{1,2,\ldots,n\}\}$ is called almost-universal if for every distinct $x, y$ in $M$, if we choose $h$ uniformly from $H$, then the probability that $h(x) = h(y)$ is less than $\frac{2}{n}$. \\

\noindent Is it true that every universal family is almost-universal? \\
1. Yes \\
2. No",1,na,Hash tables
Multiple Choice,6,"Given an array of size \( n \) where all its values are from the set \(\{1,2,\ldots,n^{\log\log(n)}\}\). It is possible to sort the elements of the array:\\

1. In time \(\theta(n)\) on average\\
2. In time \(\theta(n)\) in the worst case\\
3. In time \(\theta(n\log(n))\) in the worst case\\
4. In time \(\theta(n\log\log(n))\) in the worst case\\
5. In time \(\theta\left(\frac{n\log(n)}{\log\log(n)}\right)\) in the worst case\\
6. In time \(\theta\left(\frac{n\log(n)}{\log\log(n)}\right)\) on average",4,na,"Complexity analysis,   Non-comparison based sorting (radix,   bucket,   counting)"
Multiple Choice,6,"
Given an array with \( n \) elements where \( n^{2001/2002} \) of the elements are identical. The array can be sorted in worst-case time (mark the tightest bound, assuming the RAM model):
\begin{enumerate}
    \item \( \Theta(n) \)
    \item \( \Theta(n^{1/2002}\log(n)) \)
    \item \( \Theta(n\log(n)^{1/2002}) \)
    \item \( \Theta(n^{2001/2002}\log(n)) \)
    \item \( \Theta(n\log(n)^{2001/2002}) \)
    \item \( \Theta(n\log(n)) \)
\end{enumerate}
",6,na,"Complexity analysis,   Quick-sort,   Selection and median-of-median algorithm"
Multiple Choice,5,"Given a queue of natural numbers \( Q_1 \) with \( n \) elements. We want to sort the elements in \( Q_1 \), meaning that at the end of the sorting algorithm's run, \( Q_1 \) will contain the same elements as at the beginning, only in sorted order. The sorting algorithm is allowed to use one additional queue \( Q_2 \) with \( O(n) \) elements and an additional \( O(1) \) memory. Then, there exists such a sorting algorithm as follows:\\
1. Its running time is \( O(n^3) \) and uses principles similar to Bubble Sort.\\
2. Its running time is \( O(n^2) \) and uses principles similar to Bubble Sort.\\
3. Its running time is \( O(n^3\log(n)) \) and uses principles similar to Quick Sort (meaning the version of Quick Sort with a running time of \( O(n\log(n)) \) in the worst case).\\
4. Its running time is \( O(n^2\log(n)) \) and uses principles similar to Quick Sort (meaning the version of Quick Sort with a running time of \( O(n\log(n)) \) in the worst case).\\
5. Its running time is \( O(n^2\log(n)) \) and uses principles similar to Merge Sort.\\
6. Its running time is \( O(n\log(n)) \) and uses principles similar to Merge Sort.",6,na,"Complexity analysis,   Quick-sort,   Selection and median-of-median algorithm,   OTHER"
Multiple Choice,na,"
Assume you have an algorithm capable of performing the Heapify operation (as defined in class) on a heap in time \( O(\log\log(n)) \). What will be the running time of the BuildHeap algorithm (as defined in class), if instead of using the standard Heapify algorithm as a black box, you use the new Heapify algorithm?

A. \(\Theta(n\log(n))\) 

B. \(\Theta(n\log\log(n))\) 

C. \(\Theta\left(\frac{n\log(n)}{\log\log(n)}\right)\) 

D. \(\Theta\left(\frac{n\log\log(n)}{\log(n)}\right)\) 

E. \(\Theta(n)\) 
",E,na,Complexity analysis
Multiple Choice,na,"
In class, we saw a binary search algorithm in a sorted array.
We will modify it as follows:
At each step, instead of checking only the value at index \( n/2 \), we will check the value at each of the indices \( n/k \), \( 2n/k \), \( 3n/k \), ..., \( (k-1)n/k \).  
If at one of them the value equals the value being searched for, we will stop and return its index.
Otherwise, we will apply the algorithm recursively only on the appropriate segment.
The runtime of this algorithm will be:
\begin{enumerate}
    \item \(\Theta(n)\) 
    \item \(\Theta(n\log(k))\) 
    \item \(\Theta\left(\frac{k\log(n)}{\log(k)}\right)\) 
    \item \(\Theta\left(\frac{\log(n)}{\log(k)}\right)\)
    \item \(\Theta\left(\frac{\log(n)}{k}\right)\)
\end{enumerate}
",C,na,Complexity analysis
Multiple Choice,na,"
Given the functions \( f(n) = 2^{(\log\log(n))^{0.5}} \) and \( g(n) = (\log\log(n))^2 \cdot n^{0.5} \), which of the following is true?
\begin{enumerate}
    \item \( f = \Theta(g) \)
    \item \( f = o(g) \)
    \item \( g = o(f) \)
    \item None of the above
\end{enumerate}
",2,na,Complexity analysis
Multiple Choice,na,"
We want to convert a binary search tree into a red-black search tree. Assuming the comparison model, this can be done in the best possible time:

A. \(\Theta(n)\) W.C., average \(\Theta(n)\).
B. \(\Theta(n)\) W.C., average \(\Theta(n \log(n))\).
C. \(\Theta(n \log(n))\) W.C., average \(\Theta(n)\).
D. \(\Theta(n \log(n))\) W.C., average \(\Theta(n \log(n))\).
E. None of the above.
",A,na,"Binary search trees,   OTHER"
